銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
5259,グ,BBBイニシアティブ,350,996,183%割高,-
5261,プ,リゾルHD,4371,7090,62%割高,-
5262,プ,日本ヒューム,1182,1169,1%割安,+
5268,ス,旭コンクリート工業,909,357,61%割安,+
5269,ス,日本コンクリート工業,294,311,6%割高,-
5271,ス,ストーコーアサノ,2471,2241,9%割安,+
5273,ス,三谷セキサン,2451,1716,30%割安,+
5279,ス,日本興業,2630,1224,53%割安,+
5280,ス,ヨシコン,6661,2540,62%割安,+
5282,ス,ジオスター,770,399,46%割安,+
5283,ス,高見沢,8755,3300,62%割安,+
5284,ス,ヤマウHD,4403,2144,51%割安,+
5285,ス,ヤマックス,3070,1460,52%割安,+
5287,ス,イトーヨーギョー,1295,1025,21%割安,+
5288,プ,アジアパイルHD,2061,1398,32%割安,+
5290,プ,ベルテクスコーポレーション,1935,1964,2%割高,-
5301,プ,東海カーボン,1555,1119,28%割安,+
5302,プ,日本カーボン,5611,4790,15%割安,+
5304,ス,SECカーボン,3272,2487,24%割安,+
5310,プ,東洋炭素,4747,6070,28%割高,-
5331,プ,ノリタケ,3449,3450,0.0%割高,-
5332,プ,TOTO,4168,5425,30%割高,-
5333,プ,NGK,3752,4961,32%割高,-
5334,プ,日本特殊陶業,8884,8411,5%割安,+
5337,ス,ダントーHD,,790,,-
5971,ス,共和工業所,10025,7590,24%割安,+
5973,ス,トーアミ,156,607,290%割高,-
5974,ス,中国工業,1660,832,50%割安,+
5975,プ,東プレ,4561,2379,48%割安,+
5976,プ,ネツレン,1715,1293,25%割安,+
5981,プ,東京製綱,2570,1693,34%割安,+
5982,ス,マルゼン,5090,3725,27%割安,+
5983,ス,イワブチ,17621,12720,28%割安,+
5984,ス,義祥,1883,769,59%割安,+
5985,ス,サンコール,1127,1688,50%割高,-
5986,ス,モリテックスチール,227,232,2%割高,-
5987,ス,オーネックス,1557,1908,23%割高,-
5988,プ,パイオラックス,2784,1555,44%割安,+
5989,プ,エイチワン,2836,1261,56%割安,+
5990,ス,スーパーツール,4079,1999,51%割安,+
5991,プ,ニハツ,2942,2868,3%割安,+
5992,ス,中央発条,2769,3780,36%割高,-
5994,ス,ファインシンター,1590,1413,11%割安,+
5997,ス,協立エアテック,1914,792,58%割安,+
5998,ス,アドバネクス,2176,1818,16%割安,+
6005,プ,三浦工業,4313,3229,25%割安,+
6013,プ,タクマ,2480,2759,11%割高,-
6016,ス,ジャパンエンジンコーポレーション,8005,12300,54%割高,-
6018,ス,阪神内燃機工業,4611,5640,22%割高,-
6022,ス,赤阪鉄工所,,2891,,-
6023,ス,ダイハツインフィニアース,2992,2950,1%割安,+
6027,プ,弁護士ドットコム,1617,2463,54%割高,-
6029,ス,アトラG,151,177,17%割高,-
6030,グ,アドベンチャー,1492,1557,4%割高,-
6031,グ,ZETA,75,283,279%割高,-
6033,グ,エクストリーム,2180,1470,32%割安,+
6034,グ,MRT,725,627,13%割安,+
6035,ス,アイ・アールジャパンHD,709,716,1%割高,-
6036,プ,KeePer技研,3857,2943,24%割安,+
6037,ス,栄持,1311,882,33%割安,+
6038,グ,イード,1171,918,22%割安,+
6039,グ,日本動物高度医療センター,1059,1401,32%割高,-
6040,グ,日本スキー場開発,489,432,11%割安,+
6042,ス,ニッキ,6922,4425,34%割安,+
6044,ス,三機サービス,1709,1671,2%割安,+
5902,プ,ホッカンHD,4759,2159,55%割安,+
5905,ス,日本製缶,,1323,,-
5906,ス,エムケー精工,1796,879,51%割安,+
5909,ス,コロナ,1968,933,53%割安,+
5911,プ,横河ブリッジHD,3857,2930,24%割安,+
5915,ス,駒井ハルテック,,2671,,-
5918,ス,滝上工業,1999,7100,255%割高,-
5921,ス,川岸工業,9254,4195,55%割安,+
5922,ス,那須電機鉄工,30266,19490,36%割安,+
5923,ス,高田機工,2229,1141,49%割安,+
5928,ス,アルメタックス,118,273,131%割高,-
5929,プ,三和HD,4185,3569,15%割安,+
5930,プ,文化シャッター,2571,1850,28%割安,+
5932,プ,三協立山,,657,,-
5933,プ,アルインコ,1553,1024,34%割安,+
5936,ス,東洋シャッター,1992,914,54%割安,+
5938,プ,LIXIL,1734,1619,7%割安,+
5939,ス,大谷工業,5237,5130,2%割安,+
5940,ス,不二サッシ,1993,815,59%割安,+
5941,ス,中西製作所,3685,2524,32%割安,+
5942,ス,日本フイルコン,948,615,35%割安,+
5943,プ,ノーリツ,2605,2348,10%割安,+
5945,ス,天竜製鋸,3429,2517,27%割安,+
5946,プ,長府製作所,3588,1996,44%割安,+
5947,ス,リンナイ,4774,3562,25%割安,+
5949,プ,ユニプレス,2774,1309,53%割安,+
5950,ス,日本パワーファスニング,50,170,242%割高,-
5951,ス,ダイニチ工業,1593,1005,37%割安,+
5952,ス,アマテイ,138,186,35%割高,-
5955,ス,ワイズHD,87,110,26%割高,-
5956,ス,トーソー,1476,591,60%割安,+
5957,プ,日東精工,1248,765,39%割安,+
5958,ス,三洋工業,6211,4395,29%割安,+
5959,ス,岡部,1439,953,34%割安,+
5962,ス,浅香工業,4320,1911,56%割安,+
5965,ス,フジマック,2728,1230,55%割安,+
5966,ス,京都機械工具,4543,2413,47%割安,+
5967,ス,TONE,589,477,19%割安,+
5969,ス,ロブテックス,2256,1232,45%割安,+
5970,プ,ジーテクト,5209,1804,65%割安,+
5711,プ,三菱マテリアル,4811,5092,6%割高,-
5713,プ,住友金属鉱山,7817,9423,21%割高,-
5714,プ,DOWAHD,10574,9476,10%割安,+
5715,プ,古河機械金属,4033,4135,3%割高,-
5721,ス,エスクリプトエナジー,,96,,-
5724,ス,アサカ理研,970,3045,216%割高,-
5726,プ,大阪チタニウムテクノロジーズ,1232,2517,104%割高,-
5727,プ,東邦チタニウム,775,3355,333%割高,-
5729,ス,日本精鉱,4793,2232,53%割安,+
5741,プ,UACJ,2497,2743,10%割高,-
5742,ス,エヌアイシ・オートテック,630,756,20%割高,-
5753,ス,日本体鋼,5516,2550,54%割安,+
5757,プ,CKサンエツ,7049,4150,41%割安,+
5801,プ,古河電気工業,8528,42370,397%割高,-
5802,プ,住友電気工業,5514,10190,85%割高,-
5803,プ,フジクラ,1815,5720,229%割高,-
5805,ス,SWCC,9204,15540,72%割高,-
5816,ス,オーナンバ,2604,1871,28%割安,+
5817,ス,JMACS,1923,1332,31%割安,+
5819,ス,カナレ電気,2798,1821,35%割安,+
5820,ス,三ツ星,588,811,38%割高,-
5821,プ,平河ヒューテック,4106,4065,1%割安,+
5851,プ,リョービ,6235,3553,43%割安,+
5852,プ,アーレスティ,1694,830,51%割安,+
5856,ス,エルアイイーエイチ,,25,,-
5857,プ,AREHD,1721,3530,105%割高,-
5858,グ,STG,1477,1454,2%割安,+
5867,グ,エスネットワークス,1334,1219,9%割安,+
5868,ス,ロココ,1577,1086,31%割安,+
5869,ス,早稲田総研研究会,1356,1326,2%割安,+
5870,グ,ナルネットコミュニケーションズ,1030,979,5%割安,+
5871,ス,SOLIZE HD,1785,1390,22%割安,+
5884,グ,クラダシ,89,488,448%割高,-
5885,ス,シーデップアドバンス,3129,2982,5%割安,+
5888,グ,DAIWA CYCLE,8028,3290,59%割安,+
5889,グ,Japan Eyewear HD,2497,2233,11%割安,+
5891,ス,魅力屋,1011,1418,43%割高,-
5892,グ,yutori,611,1950,219%割高,-
5900,ス,ダイケン,2006,781,61%割安,+
5901,プ,東洋製缶GHD,4472,3239,28%割安,+
6199,ス,セラク,1966,1329,32%割安,+
6200,プ,インソース,1186,684,42%割安,+
6203,ス,豊和工業,1660,1521,8%割安,+
6208,ス,石川製作所,721,2147,198%割高,-
6218,ス,エンシュウ,,571,,-
6222,プ,島精機製作所,490,943,93%割高,-
6223,ス,西部技研,2250,2119,6%割安,+
6224,グ,JRC,1801,1219,32%割安,+
6226,ス,守谷輸送機工業,2081,2068,0.3%割安,+
6227,ス,AIメカテック,1419,6330,346%割高,-
6229,ス,オーケーエム,3129,1942,37%割安,+
6230,ス,SANEI,4044,2102,48%割安,+
6231,ス,木村工機,14682,12070,18%割安,+
6232,グ,ACSL,,2359,,-
6233,ス,KLASS,586,401,31%割安,+
6235,プ,オプトラン,2192,4075,86%割高,-
6237,プ,イワキ,2908,2714,7%割安,+
6238,プ,フリュー,1417,1278,10%割安,+
6239,ス,ナガオカ,2486,1465,41%割安,+
6240,プ,ヤマシンフィルタ,488,486,0.3%割安,+
6245,ス,ヒラノテクシード,2251,1784,21%割安,+
6246,ス,テクノスマート,2272,1898,16%割安,+
6247,プ,日阪製作所,2175,1606,26%割安,+
6248,ス,横田製作所,2289,1897,17%割安,+
6249,ス,ゲームカードHD,3573,2605,27%割安,+
6250,プ,やまびこ,5153,3890,24%割安,+
6254,ス,野村マイクロ・サイエンス,4237,3655,12%割安,+
6255,グ,エヌ・ピー・シー,550,745,36%割高,-
6257,ス,藤商事,1181,967,18%割安,+
6258,プ,平田機工,3091,3235,5%割高,-
6262,ス,PEGASUS,1257,879,30%割安,+
6264,プ,マルマエ,664,1910,188%割高,-
6265,ス,コンバム,3656,3005,18%割安,+
6266,プ,タツモ,2773,2904,5%割高,-
6267,ス,ゼネラルパッカー,6659,3765,43%割安,+
6268,プ,ナブテスコ,2944,5206,77%割高,-
6269,プ,三井海洋開発,10679,12910,21%割高,-
6272,プ,レオン自機,2075,1520,27%割安,+
6273,プ,SMC,47179,76080,61%割高,-
6276,ス,シリウスビジョン,347,295,18%割安,+
6125,ス,岡本工作機械製作所,5664,4200,23%割安,+
6134,プ,FUJI,4269,6068,42%割高,-
6136,プ,オーエスジー,2975,3268,10%割高,-
6137,ス,小池酸素工業,2706,1850,32%割安,+
6138,ス,ダイジェット工業,1366,1074,20%割安,+
6140,ス,旭ダイヤモンド工業,1302,1291,1%割安,+
6141,プ,DMG森精機,1588,2933,85%割高,-
6143,プ,ソディック,1694,1558,8%割安,+
6144,ス,西部電機,2967,2880,3%割安,+
6145,ス,NITTOKU,2817,2445,13%割安,+
6146,プ,ディスコ,78071,74010,5%割安,+
6149,ス,小田原エンジニアリング,2677,1985,26%割安,+
6150,ス,タケダ機械,5523,3135,43%割安,+
6151,プ,日東工器,2417,1610,33%割安,+
6155,ス,高松機械工業,,494,,-
6156,ス,エーワン精密,1507,1996,32%割高,-
6157,ス,日通工具,832,867,5%割高,-
6158,ス,和井田製作所,1379,964,30%割安,+
6159,ス,ミクロン精密,2480,2070,17%割安,+
6161,ス,エスティック,2008,1013,50%割安,+
6165,ス,パンチ工業,691,484,30%割安,+
6166,グ,中村超硬,,720,,-
6167,プ,富士ダイス,1000,992,1%割安,+
6171,ス,土木管理総合試験所,529,394,26%割安,+
6176,ス,ブランジスタ,966,899,7%割安,+
6177,グ,AppBank,,106,,-
6180,グ,GMOメディア,4847,4380,9%割安,+
6182,グ,メタリアル,215,456,112%割高,-
6183,プ,ベルシステム24HD,1339,1497,12%割高,-
6184,プ,鎌倉新書,681,471,31%割安,+
6185,ス,SMN,317,403,27%割高,-
6186,ス,一蔵,,376,,-
6189,ス,グローバルキッズCOMPANY,836,1006,20%割高,-
6190,グ,フェニックスバイオ,362,438,23%割高,-
6191,プ,エアトリ,719,684,5%割安,+
6193,グ,バーチャレクス-HD,1045,968,0.3%割安,+
6194,グ,アトラエ,474,646,41%割高,-
6195,グ,ホープ,120,220,84%割高,-
6196,プ,ストライクG,2553,1314,49%割安,+
6198,グ,キャリア,218,236,11%割高,-
6045,グ,レントラックス,1441,1672,16%割高,-
6046,ス,リンクバル,38,156,307%割高,-
6047,プ,Gunosy,420,513,23%割高,-
6049,グ,イトクロ,372,275,26%割安,+
6050,プ,イー・ガーディアン,1690,1631,3%割安,+
6054,ス,リブセンス,28,118,328%割高,-
6055,プ,ジャパンマテリアル,1814,1778,2%割安,+
6058,プ,ベクトル,2213,1246,44%割安,+
6059,ス,ウチヤマHD,591,354,40%割安,+
6061,ス,ユニバーサル園芸社,5071,2792,45%割安,+
6062,プ,チャーム・ケア・コーポレーション,1310,1285,2%割安,+
6063,ス,日本エマージェンシーアシスタンス,995,900,9%割安,+
6069,グ,トレンダーズ,1691,679,59%割安,+
6070,プ,キャリアリンク,2559,2346,8%割安,+
6071,プ,IBJ,1200,719,40%割安,+
6072,ス,地盤ネットHD,,1024,,-
6073,プ,アサンテ,1065,1487,40%割高,-
6074,ス,ジェイエスエス,998,544,45%割安,+
6078,プ,バリューHR,535,1396,165%割高,-
6080,プ,M&Aキャピタルパートナーズ,3466,3220,6%割安,+
6081,グ,アライドアーキテクツ,117,239,107%割高,-
