銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
7297,ス,カーメイト,1445,856,41%割安,+
7299,ス,フジオーゼックス,3404,1782,48%割安,+
7305,ス,新家工業,3165,2488,21%割安,+
7309,プ,シマノ,10670,16415,54%割高,-
7313,プ,テイ・エステック,2309,1713.5,26%割安,+
7694,グ,いつも,395,642,64%割高,-
7695,グ,交換できるくん,507,726,44%割高,-
7698,ス,アイスコ,1340,2451,92%割高,-
7701,プ,島津製作所,3255,3632,12%割高,-
7702,ス,JMS,,427,,-
7707,グ,プレジション・システム・サイエンス,95,208,120%割高,-
7711,ス,助川電気工業,2282,6000,163%割高,-
7713,ス,シグマ光機,2459,1943,21%割安,+
7715,プ,長野計器,4563,3080,32%割安,+
7716,ス,ナカニシ,2177,2778,28%割高,-
7717,プ,アイ・テクノロジー,3964,4830,22%割高,-
7718,ス,東京衡機,314,592,89%割高,-
7721,プ,東京計器,3763,7510,100%割高,-
7722,ス,国際計測器,910,807,11%割安,+
7723,プ,愛知時計電機,3659,2891,21%割安,+
7725,プ,インター・アクション,1253,1813,45%割高,-
7726,ス,黒田精工,1563,1050,33%割安,+
7727,ス,オーバル,922,699,24%割安,+
7729,プ,東京精密,11729,17130,46%割高,-
7730,プ,マニー,1181,1709,45%割高,-
7731,プ,ニコン,807,1727,115%割高,-
7733,プ,オリンパス,1111,1546.5,39%割高,-
7734,プ,理研計器,3412,3360,2%割安,+
7735,プ,SCREENHD,11092,10230,8%割安,+
7740,プ,タムロン,1424,1081,24%割安,+
7741,プ,HOYA,9199,29100,216%割高,-
7743,ス,シード,581,533,8%割安,+
7744,プ,ノーリン鋼鎖,2546,2079,18%割安,+
7745,プ,A&DホロンHD,2485,2855,15%割高,-
7746,ス,岡本硝子,,852,,-
7747,プ,朝日インテック,2174,3298,52%割高,-
7749,ス,メディキット,3535,2973,16%割安,+
7751,プ,キヤノン,6484,4007,38%割安,+
7752,プ,リコー,2045,1316.5,36%割安,+
7760,ス,IMV,1656,3465,109%割高,-
7762,プ,シチズン時計,1520,1813,19%割高,-
7769,プ,リズム,3639,3405,6%割安,+
7771,ス,日本精密,55,405,640%割高,-
7774,グ,ジャパン・ティッシュエンジニアリング,,530,,-
7775,ス,大研医器,453,440,2%割安,+
7603,ス,ジーイェット,32,94,192%割高,-
7604,ス,梅の花G,,872,,-
7606,プ,ユナイテッドアローズ,2620,2463,6%割安,+
7607,グ,進和,3718,3025,19%割安,+
7608,ス,エスケイジャパン,1896,816,57%割安,+
7609,グ,ダイトロン,3523,2909,17%割安,+
7610,ス,テイジー,160,140,13%割安,+
7611,プ,ハイデイ日高,2377,2849,20%割高,-
7612,ス,シークス,2272,1282,44%割安,+
7614,ス,オーエムツーネットワーク,2741,1542,44%割安,+
7615,ス,京都きもの友禅HD,110,123,12%割高,-
7616,プ,コロワイド,749,1850.5,147%割高,-
7619,ス,田中商事,2352,840,64%割安,+
7621,ス,うかい,832,3335,301%割高,-
7624,ス,NalTO,203,132,35%割安,+
7625,ス,グローバルダイニング,764,440,42%割安,+
7628,プ,オーハンテクニカ,1407,1101,22%割安,+
7630,プ,壱番屋,346,865,150%割高,-
7634,ス,星医療酸器,8486,5210,39%割安,+
7636,ス,ハンズマン,1318,802,39%割安,+
7638,ス,NEW ART HD,2438,1376,44%割安,+
7640,ス,トップカルチャー,38,189,402%割高,-
7643,ス,ダイイチ,1925,1680,13%割安,+
7646,ス,PLANT,3155,1757,44%割安,+
7649,ス,スギHD,3398,3130,8%割安,+
7670,ス,オーウェル,2169,1045,52%割安,+
7673,ス,ダイコー通産,2174,1886,13%割安,+
7674,グ,NATTY SWANKYHD,,2566,,-
7677,ス,ヤシマキザイ,2958,2520,15%割安,+
7678,ス,あさくま,1089,5460,401%割高,-
7679,プ,薬王堂HD,2886,1757,39%割安,+
7681,ス,レオクラン,1028,840,18%割安,+
7682,ス,浜木綿,828,4030,387%割高,-
7683,プ,ダブルエー,801,1364,70%割高,-
7685,グ,BuySell Technologies,2436,3350,38%割高,-
7686,ス,ひとまいる,185,414,131%割高,-
7687,グ,ミクリード,488,438,10%割安,+
7689,グ,コバ・コーポレーション,137,435,217%割高,-
7692,ス,アース インフィニティ,41,95,132%割高,-
7515,ス,マルヨシセンター,,4585,,-
7516,プ,コーナン商事,5899,4050,31%割安,+
7520,プ,エコス,4244,2222,48%割安,+
7521,ス,ムサシ,3918,2814,28%割安,+
7522,プ,ワタミ,837,967,15%割高,-
7523,ス,アールビバン,1835,1589,13%割安,+
7524,ス,マルシェ,18,164,835%割高,-
7525,プ,リックス,5088,3330,35%割安,+
7527,ス,システムソフト,42,52,36%割高,-
7531,ス,清和中央HD,1769,1471,17%割安,+
7532,プ,パンパンHD,579,889.4,54%割高,-
7537,プ,丸文,3119,1166,63%割安,+
7538,ス,大水,823,390,53%割安,+
7539,ス,アイナボHD,1001,800,20%割安,+
7544,ス,スリーエフ,1362,553,59%割安,+
7545,プ,西松屋チェーン,2204,1999,9%割安,+
7550,プ,ゼンショーHD,3745,8623,130%割高,-
7551,ス,ウェッズ,1063,711,33%割安,+
7552,プ,ハビネット,3320,2669,20%割安,+
7554,プ,幸楽苑,497,1087,167%割高,-
7555,ス,大田花き,862,743,14%割安,+
7561,ス,ハークスレイ,1531,644,58%割安,+
7562,ス,安楽亭,1769,3700,109%割高,-
7564,ス,ワークマン,4593,7200,47%割高,-
7565,ス,万世電機,8784,5850,33%割安,+
7567,ス,栄電子,726,492,32%割安,+
7570,ス,橋本総業HD,1620,1253,22%割安,+
7571,ス,ヤマノHD,88,98,11%割高,-
7575,プ,日本ライフライン,2152,1404,35%割安,+
7578,ス,ニチリョク,236,104,56%割安,+
7581,プ,サイゼリヤ,4025,5080,28%割高,-
7585,ス,かんなん丸,,417,,-
7590,ス,タカショー,157,390,148%割高,-
7593,プ,VTHD,871,480,45%割安,+
7595,グ,アルゴグラフィックス,2233,1346,40%割安,+
7596,グ,魚力,1631,2240,37%割高,-
7599,プ,IDOM,1929,1318,32%割安,+
7600,プ,日本エム・ディ・エム,851,550,35%割安,+
7601,ス,ポプラ,99,167,69%割高,-
7602,ス,レダックス,219,198,10%割安,+
7927,ス,ムトー精工,3405,1942,43%割安,+
7928,ス,旭化学工業,1163,604,48%割安,+
7931,プ,未来工業,4434,2985,33%割安,+
7932,ス,ニッピ,15786,11740,26%割安,+
7936,プ,アシックス,3694,4432,20%割高,-
7937,ス,ツツミ,4043,2859,29%割安,+
7938,ス,リーガルコーポレーション,355,2184,517%割高,-
7939,ス,研創,819,585,29%割安,+
7940,ス,ウェーブロックHD,707,1053,49%割高,-
7942,プ,JSP,3985,2302,42%割安,+
7943,プ,ニチハ,4317,3105,28%割安,+
7944,プ,ローランド,2875,4085,42%割高,-
7947,プ,エフピコ,2481,2295,7%割安,+
7949,ス,小松ウォール工業,2795,2593,7%割安,+
7951,プ,ヤマハ,1155,1125,3%割安,+
7952,プ,河合楽器製作所,4397,2745,38%割安,+
7953,ス,菊水化学工業,707,386,45%割安,+
7955,プ,クリナップ,1418,862,39%割安,+
7956,プ,ピジョン,1355,1687,25%割高,-
7957,ス,フジコピアン,837,1392,66%割高,-
7962,プ,キングジム,471,791,69%割高,-
7963,ス,興研,2903,1813,38%割安,+
7965,プ,象印マホービン,1473,1570,7%割高,-
7966,プ,リンテック,5042,5030,0.2%割安,+
7970,プ,信越ポリマー,2419,2127,12%割安,+
7971,ス,東リ,1021,643,37%割安,+
7972,プ,イトーキ,3025,3165,5%割高,-
7974,プ,任天堂,5914,7687,30%割高,-
7975,ス,リヒトラブ,1002,1155,15%割高,-
7976,プ,三菱鉛筆,2703,2334,14%割安,+
7979,プ,松風,1955,1652,15%割安,+
7980,ス,重松製作所,1375,842,39%割安,+
7981,プ,タカラスタンダード,3544,2964,16%割安,+
7983,ス,ミロク,,1122,,-
7984,プ,コクヨ,848,783.1,8%割安,+
7986,ス,日本アイ・エス・ケイ,4027,1867,54%割安,+
7987,ス,ナカバヤシ,1085,578,47%割安,+
7988,プ,ニフコ,5181,4614,11%割安,+
7989,ス,立川ブラインド工業,2970,2544,14%割安,+
7990,プ,グローブライド,3093,2077,33%割安,+
7847,ス,グラファイトデザイン,722,613,15%割安,+
7849,ス,スターツ出版,5385,3985,26%割安,+
7850,ス,綜合商研,1422,860,40%割安,+
7856,ス,萩原工業,2193,1641,24%割安,+
7857,ス,セキ,2720,1350,50%割安,+
7859,ス,アルメディオ,286,277,3%割安,+
7860,プ,エイベックス,1273,1185,7%割安,+
7863,ス,平賀,1879,981,48%割安,+
7864,プ,フジシール・インターナショナル,4199,2476,41%割安,+
7865,ス,ピープル,,410,,-
7867,プ,タカラトミー,2685,2545.5,5%割安,+
7868,プ,広済堂HD,525,606,20%割高,-
7871,ス,ツクバ化学工業,1661,966,42%割安,+
7872,ス,エステールHD,,592,,-
7874,プ,レック,1190,1034,13%割安,+
7875,ス,竹田iPHD,1142,671,41%割安,+
7877,ス,永大化工,5377,2171,60%割安,+
7878,ス,光・彩,1146,865,24%割安,+
7879,ス,ノダ,1861,674,64%割安,+
7883,ス,サンメッセ,382,366,4%割安,+
7885,ス,タカノ,1601,1030,36%割安,+
7887,ス,南海プライウッド,6417,2142,67%割安,+
7888,ス,三光合成,2077,866,58%割安,+
7893,プ,プロネクサス,1238,1071,13%割安,+
7896,ス,セブン工業,203,500,146%割高,-
7897,ス,ホシン,,104,,-
7898,ス,ウッドワン,478,980,112%割高,-
7902,ス,ソノコム,1797,1185,34%割安,+
7906,ス,ヨネックス,3216,2647,18%割安,+
7908,ス,KIMOTO,346,237,32%割安,+
7911,プ,TOPPANHD,5350,4650,13%割安,+
7912,プ,大日本印刷,3434,2968,14%割安,+
7914,プ,共同印刷,2142,1544,28%割安,+
7915,ス,NISSHA,2248,1257,44%割安,+
7916,ス,光村印刷,2733,1962,28%割安,+
7917,グ,ZACROS,1781,1369,23%割安,+
7918,ス,ヴィア-HD,,106,,-
7919,ス,野崎印刷紙業,300,202,33%割安,+
7921,プ,TAKARA & COMPANY,4098,3375,18%割安,+
7925,プ,前沢化成工業,2432,1960,19%割安,+
7776,グ,セルシード,,269,,-
7780,プ,メニコン,1445,1620,13%割高,-
7781,ス,平山HD,1533,1380,10%割安,+
7782,ス,シンシア,472,445,6%割安,+
7791,ス,ドリームベッド,1257,790,37%割安,+
7792,グ,コラントッテ,2949,1370,54%割安,+
7793,グ,イメージ・マジック,2510,1642,35%割安,+
7794,グ,イーディービー,,1332,,-
7795,ス,KYORITSU,426,218,49%割安,+
7800,ス,アミファ,723,1190,65%割高,-
7801,グ,ブシロード,230,251,10%割高,-
7804,ス,ビーアンドピー,4511,2248,50%割安,+
7805,ス,プリントネット,1266,734,42%割安,+
7806,グ,MTG,3511,5770,67%割高,-
7807,ス,掌製作所,1664,815,51%割安,+
7808,ス,シー・エス・ランバー,6168,2969,52%割安,+
7809,ス,寿屋,1103,1328,20%割高,-
7810,ス,クロスフォー,,180,,-
7811,ス,中本パックス,3790,1905,50%割安,+
7812,ス,クレステック,4159,1918,54%割安,+
7813,ス,プラッツ,995,835,16%割安,+
7814,ス,日本創発G,447,580,30%割高,-
7818,プ,トランザクション,1262,1133,11%割安,+
7819,ス,粧美堂,1021,1041,2%割高,-
7820,プ,ニホンフラッシュ,1058,792,25%割安,+
7821,プ,前田工繊,1910,1826,4%割安,+
7822,ス,大矢産業,,228,,-
7823,ス,アートネイチャー,955,809,18%割安,+
7826,プ,フルヤ金属,6561,7350,12%割高,-
7827,ス,オービス,3066,1655,46%割安,+
7831,ス,ウイルコHD,80,85,6%割高,-
7832,プ,バンダイナムコHD,3894,3623,7%割安,+
7833,ス,アイフィスジャパン,1001,662,34%割安,+
7836,ス,アビックス,57,86,50%割高,-
7837,ス,アールシーコア,,325,,-
7839,プ,SHOEI,1714,1748,2%割高,-
7840,プ,フランスベッドHD,1382,1275,8%割安,+
7841,ス,遠藤製作所,2250,1089,52%割安,+
7844,プ,マーベラス,481,454,6%割安,+
7846,プ,パイロットコーポレーション,5634,4790,15%割安,+
8131,ス,ミツウロコGHD,2254,1995,12%割安,+
8132,プ,シナネンHD,5295,6910,31%割高,-
8133,プ,伊藤忠エネクス,2375,1918,19%割安,+
8135,ス,ゼット,785,428,46%割安,+
8136,プ,サンリオ,998,915,8%割安,+
8137,プ,サンワテクノス,3481,3205,8%割安,+
8138,プ,三菱化成,10241,4390,57%割安,+
8139,ス,ナガホリ,772,2275,195%割高,-
8141,プ,新光商事,1695,1631,4%割安,+
8142,プ,トーホー,2000,1390,30%割安,+
8144,ス,デンキョーGHD,1523,1332,13%割安,+
8147,ス,トミタ,1975,1161,41%割安,+
8150,プ,三信電気,3908,2695,31%割安,+
8151,プ,東陽テクニカ,1797,1779,1%割安,+
8152,ス,ソマール,13540,5520,59%割安,+
8153,プ,モスフードサービス,2496,3645,58%割高,-
8154,プ,加賀電子,6315,4210,33%割安,+
8157,プ,都築電気,4057,3475,14%割安,+
8158,プ,ソーダニッカ,1525,1012,34%割安,+
8159,プ,立花エレテック,4589,2866,38%割安,+
8160,プ,木曽路,1147,2319,102%割高,-
8163,プ,SRSHD,453,1181,161%割高,-
8166,ス,タカキュー,44,77,76%割高,-
8167,プ,リテールパートナーズ,2231,1295,42%割安,+
8173,プ,Joshin,3332,2904,13%割安,+
8174,プ,日本瓦斯,1978,2679.5,35%割高,-
8179,プ,ロイヤルHD,883,1371,55%割高,-
8181,ス,東天紅,2946,1025,65%割安,+
8185,プ,チヨダ,1178,967,18%割安,+
8194,プ,ライフコーポレーション,3367,2579,23%割安,+
8198,ス,マックスバリュ東海,4969,3435,31%割安,+
8200,プ,リンガーハット,627,2217,254%割高,-
8202,ス,ラオックスHD,173,150,8%割安,+
8203,プ,MrMaxHD,1287,706,45%割安,+
8207,ス,テンアライド,41,284,599%割高,-
8214,プ,AOKiHD,1967,1553,21%割安,+
8217,プ,オークワ,105,781,647%割高,-
8218,プ,コメリ,5571,3335,40%割安,+
8219,プ,青山商事,1276,789,38%割安,+
8225,ス,タカチホ,3963,3350,15%割安,+
8058,プ,三菱商事,3125,4990,60%割高,-
8059,プ,第一実業,4897,3195,35%割安,+
8060,プ,キヤノンマーケティングジャパン,3653,3575,2%割安,+
8061,ス,西部産業,2505,2983,20%割高,-
8064,プ,佐藤商事,3477,2743,20%割安,+
8065,ス,三谷商事,3391,2588,24%割安,+
8066,ス,三谷商事,885,873,1%割安,+
8070,プ,東京産業,885,873,1%割安,+
8074,プ,YUASA,8295,5970,28%割安,+
8075,プ,神鋼商事,3726,2314,38%割安,+
8076,ス,カノックス,2650,2027,24%割安,+
8077,ス,トルク,532,209,60%割安,+
8078,プ,阪和興業,2508,1613,36%割安,+
8079,プ,正栄食品工業,3502,4090,17%割高,-
8081,プ,カナデン,2734,2337,15%割安,+
8084,プ,RYODEN,4161,3545,15%割安,+
8085,ス,ナラサキ産業,7772,4310,45%割安,+
8086,プ,ニプロ,1282,1519,18%割高,-
8088,プ,岩谷産業,2567,1921,25%割安,+
8089,ス,ナイス,5233,1933,63%割安,+
8091,プ,ニチモウ,3553,2246,37%割安,+
8093,プ,極東貿易,2538,1868,26%割安,+
8095,プ,アステナHD,751,481,36%割安,+
8097,プ,三愛オブリ,2507,2305,8%割安,+
8098,プ,稲畑産業,5667,3865,32%割安,+
8101,プ,GSIクレオス,3454,2418,30%割安,+
8103,プ,明和産業,1172,830,29%割安,+
8104,ス,クワザワHD,1055,551,48%割安,+
8105,ス,Bitcoin Japan,,133,,-
8107,ス,キムラタン,,32,,-
8111,プ,ゴールドウィン,2790,2194,21%割安,+
8113,プ,ユニ・チャーム,805,912.1,13%割高,-
8115,ス,ムーンバット,1319,1509,14%割高,-
8117,ス,中央自動車工業,2901,1807,38%割安,+
8118,ス,キング,1258,1096,13%割安,+
8119,ス,三栄コーポレーション,1275,800,37%割安,+
8123,ス,川辺,3569,1375,61%割安,+
8125,プ,ワキタ,1935,1815,4%割安,+
8127,ス,ヤマトインターナショナル,425,561,32%割高,-
8129,プ,東邦HD,4122,4474,9%割高,-
8130,プ,サンゲツ,3221,2987,7%割安,+
7991,ス,マミヤ・オーピー,2277,1244,45%割安,+
7992,ス,セーラー万年筆,,113,,-
7994,プ,オカムラ,3525,2502,29%割安,+
7995,プ,バルカー,5088,5790,14%割高,-
7997,ス,くろがね工作所,890,958,8%割高,-
8001,プ,伊藤忠商事,1666,1938,16%割高,-
8002,プ,丸紅,4319,6210,44%割高,-
8005,プ,スクロール,1583,1325,14%割安,+
8006,ス,コアサ・フナショク,2119,1581,25%割安,+
8007,プ,高島,756,784,4%割高,-
8008,プ,ヨンドシーHD,1810,1847,2%割高,-
8011,プ,三陽商会,5657,3860,32%割安,+
8012,プ,長瀬産業,1156,1177.5,2%割高,-
8013,ス,ナイガイ,186,322,73%割高,-
8014,プ,蝶理,5671,4275,25%割安,+
8015,プ,豊田通商,5367,6101,14%割高,-
8016,プ,オンワードHD,1259,737,41%割安,+
8018,ス,三共生興,1244,870,30%割安,+
8020,プ,兼松,2669,2152,19%割安,+
8022,プ,ミズノ,3755,3310,12%割安,+
8023,ス,DAIKO XTECH,1398,967,31%割安,+
8025,ス,ツカモトコーポレーション,,1253,,-
8029,ス,ルックHD,5052,2588,49%割安,+
8030,ス,中央魚類,9548,3765,56%割安,+
8031,プ,三井物産,4259,5896,38%割高,-
8032,プ,日本紙パルブ商事,1193,1108,7%割安,+
8035,プ,東京エレクトロン,28497,44390,56%割高,-
8036,プ,カメイ,6410,3200,50%割安,+
8039,ス,築地魚市場,1526,4035,164%割高,-
8040,ス,東京ソワール,2586,1070,59%割安,+
8041,ス,OUGHD,10319,3955,62%割安,+
8043,プ,スターゼン,1991,1136,43%割安,+
8045,ス,横浜丸魚,2266,1565,31%割安,+
8046,ス,丸藤シートパイル,1858,929,50%割安,+
8050,プ,セイコーG,3406,5830,71%割高,-
8051,プ,山善,1795,1541,14%割安,+
8052,プ,椿本興業,4006,2782,31%割安,+
8053,プ,住友商事,5879,5840,1%割安,+
8056,プ,BIPROGY,4636,4474,3%割安,+
8057,プ,内田洋行,3645,2014,45%割安,+
9021,プ,JR西日本,3198,2831.5,11%割安,+
9022,プ,JR東海,6452,3744,42%割安,+
9023,プ,東京地下鉄,1292,1568,21%割高,-
9024,ス,西武HD,2750,3682,34%割高,-
9025,プ,鴻池運輸,4743,2832,40%割安,+
9028,ス,ゼロ,6049,3325,45%割安,+
9029,ス,ヒガシHD,3039,1761,42%割安,+
9031,プ,西日本鉄道,3078,2855.5,7%割安,+
9033,ス,広島電鉄,545,627,15%割高,-
9034,ス,南総通運,2584,1525,41%割安,+
9036,ス,東都ネットワーク,2786,1201,57%割安,+
9037,プ,ハマキョウレックス,2479,1720,31%割安,+
9039,ス,サカイ引越センター,3971,2906,27%割安,+
9041,プ,近鉄GHD,3064,3333,9%割高,-
9042,プ,阪急阪神HD,5446,4518,17%割安,+
9044,プ,NANKAI,3336,2973.5,12%割安,+
9045,プ,京阪HD,3450,3244,6%割安,+
9046,プ,神戸電鉄,622,2398,285%割高,-
9048,プ,名古屋鉄道,2262,1720,22%割安,+
9049,ス,京福電気鉄道,7827,7270,7%割安,+
9051,ス,センコン物流,1135,1260,11%割高,-
9052,プ,山陽電気鉄道,2548,1974,23%割安,+
9057,ス,遠州トラック,5067,3265,36%割安,+
9059,ス,カンダHD,1679,870,48%割安,+
9060,ス,日本ロジテム,9416,4450,53%割安,+
9063,ス,岡山県貨物運送,10608,4270,60%割安,+
9064,プ,ヤマトHD,1854,1764.5,5%割安,+
9065,プ,山九,9432,8450,10%割安,+
9068,プ,丸全昭和運輸,10089,7770,23%割安,+
9069,プ,センコーGHD,1827,1845.5,1%割高,-
9072,プ,ニッコンHD,2417,5083,111%割高,-
9073,ス,京橋運輸商事,861,1263,47%割高,-
9074,ス,日本石油輸送,7681,5100,34%割安,+
9075,プ,福山通運,7335,5190,29%割安,+
9076,プ,セイノーHD,3055,2398.5,21%割安,+
9081,プ,神奈川中央交通,4584,3220,30%割安,+
9082,ス,大和自動車交通,284,1366,381%割高,-
9083,ス,神姫バス,4135,1976,52%割安,+
9087,ス,タカセ,3114,1833,41%割安,+
9090,プ,AZ-COM丸和HD,1157,894,23%割安,+
8877,プ,エスリード,7260,5820,20%割安,+
8881,プ,日神GHD,1530,693,55%割安,+
8887,ス,シーラHD,307,378,23%割高,-
8891,ス,AMGHD,4383,2276,48%割安,+
8892,プ,エスコン,857,1175,37%割高,-
8894,ス,REVOLUTION,,41,,-
8897,プ,MIRARTHHD,590,397,33%割安,+
8898,ス,センチュリー21・ジャパン,1337,1138,15%割安,+
8904,ス,AVANTIA,1595,823,48%割安,+
8908,ス,毎日コムネット,1435,909,37%割安,+
8912,ス,エリアクエスト,118,176,50%割高,-
8914,ス,エリアリンク,1016,1005,1%割安,+
8917,ス,ファースト住建,2761,1105,60%割安,+
8918,ス,ランド,6,10,62%割高,-
8919,プ,カチタス,2685,3115,16%割高,-
8920,ス,東祥,1581,835,47%割安,+
8923,プ,トーセイ,2215,1632,36%割安,+
8927,ス,明星エンタープライズ,1261,462,63%割安,+
8928,ス,次欧興産,4013,2507,38%割安,+
8929,ス,青山財産ネットワークス,1497,1395,6%割安,+
8931,ス,和田興産,3016,1344,55%割安,+
8934,ス,サンフロンティア不動産,7437,2685,64%割安,+
8935,プ,FJネクストHD,5329,1504,72%割安,+
8938,グ,クローム-HD,58,366,533%割高,-
8944,ス,ランビジネス,246,238,3%割安,+
8945,ス,サンネクスタG,1178,1210,3%割高,-
8946,ス,ASIAN STAR,96,82,15%割安,+
8995,ス,誠建設工業,1538,978,36%割安,+
8996,ス,ハウスフリーダム,1833,1008,45%割安,+
8999,プ,グランディハウス,607,536,12%割安,+
9001,プ,東武鉄道,2902,2793,4%割安,+
9003,プ,相鉄HD,2903,2641.5,9%割安,+
9005,プ,東急,2023,1664.5,18%割安,+
9006,プ,京浜急行電鉄,1780,1532.5,14%割安,+
9007,プ,小田急電鉄,1617,1575,3%割安,+
9008,プ,京王電鉄,791,737.3,7%割安,+
9009,プ,京成電鉄,1170,1112,5%割安,+
9010,プ,富士急行,1272,2260,78%割高,-
9017,ス,新潟交通,4408,1987,55%割安,+
9020,プ,JR東日本,3553,3388,5%割安,+
8226,ス,理経,608,487,20%割安,+
8227,プ,しまむら,3928,3274,17%割安,+
8230,ス,はせがわ,644,316,51%割安,+
8233,プ,高島屋,1900,1863,2%割安,+
8237,プ,松屋,456,1677,268%割高,-
8242,プ,エイチ・ツー・オーリテイリング,2903,2311,20%割安,+
8244,ス,近鉄百貨店,1239,1659,34%割高,-
8247,ス,大和,,319,,-
8252,プ,丸井G,2160,3004,39%割高,-
8254,ス,さいか屋,,244,,-
8255,プ,アクシアルリテイリング,1578,1128,29%割安,+
8260,ス,井筒屋,997,430,57%割安,+
8267,プ,イオン,780,1510,94%割高,-
8273,プ,イズミ,1449,949,34%割安,+
8275,ス,フォーバル,1098,1064,3%割安,+
8276,ス,平和堂,3985,2663,33%割安,+
8278,プ,フジ,2369,2038,16%割安,+
8281,プ,ゼビオHD,2142,993,54%割安,+
8282,プ,ケーズHD,1627,1809,11%割高,-
8283,プ,PALTAC,6106,4625,24%割安,+
8285,ス,三谷産業,762,700,8%割安,+
8291,ス,日産東販売HD,919,523,43%割安,+
8769,ス,アドバンテッジリスクマネジメント,659,482,27%割安,+
8801,プ,三井不動産,1921,1704.5,11%割安,+
8802,プ,三菱地所,5052,4434,12%割安,+
8803,プ,平和不動産,2700,2431,10%割安,+
8804,プ,東京建物,4299,3599,16%割安,+
8818,プ,京急神ビルディング,2396,1892,21%割安,+
8830,プ,住友不動産,5142,4843,6%割安,+
8835,ス,太平洋興発,1784,906,49%割安,+
8836,ス,RISE,19,29,56%割高,-
8841,ス,テーオーシー,1110,1049,6%割安,+
8844,ス,コスモスイニシア,2073,1152,44%割安,+
8848,プ,レオパレス21,721,652,9%割安,+
8850,ス,スターツコーポレーション,9157,4805,48%割安,+
8860,プ,フジ住宅,1325,805,39%割安,+
8864,ス,空港施設,1543,970,37%割安,+
8869,ス,明和地所,1443,911,37%割安,+
8871,ス,ゴールドクレスト,4800,3340,30%割安,+
8876,プ,リログループ,1650,1957.5,20%割高,-
9310,プ,日本トランスシティ,1667,1164,30%割安,+
9311,ス,アサガミ,17786,7990,55%割安,+
9312,ス,ケイヒン,5647,2967,47%割安,+
9313,ス,丸八倉庫,2019,1029,49%割安,+
9319,プ,中央倉庫,2379,1982,17%割安,+
9322,ス,川西倉庫,2880,2390,17%割安,+
9324,プ,安田倉庫,2751,2210,20%割安,+
9325,ス,ファイズHD,2369,1167,51%割安,+
9326,グ,関通HD,208,414,99%割高,-
9330,グ,篠羽,661,845,33%割高,-
9331,グ,キャスター,,695,,-
9336,プ,大栄環境,2234,3765,68%割高,-
9337,ス,トリドリ,870,1616,91%割高,-
9339,ス,コーチ・エイ,1435,1231,14%割安,+
9340,ス,アソインターナショナル,815,687,14%割安,+
9341,グ,GENOVA,604,551,8%割安,+
9342,グ,スマサポ,368,921,167%割高,-
9343,グ,アイビス,798,685,9%割安,+
9344,グ,アクシスコンサルティング,1090,908,16%割安,+
9345,グ,ビズメイツ,882,612,30%割安,+
9346,グ,ここコルボート,3146,1639,47%割安,+
9348,グ,ispace,,468,,-
9350,ス,東洋埠頭,3461,1957,43%割安,+
9353,ス,桜島埠頭,4127,2275,45%割安,+
9355,プ,リンコーコーポレーション,4974,2181,56%割安,+
9360,ス,鈴与シンワート,4802,2997,38%割安,+
9361,ス,伏木海陸運送,5461,2258,59%割安,+
9362,ス,兵機海運,3793,3850,1%割高,-
9363,ス,大運,752,497,34%割安,+
9364,プ,上組,5268,5195,1%割安,+
9365,ス,ストレーディア,2896,1505,54%割安,+
9366,ス,サンリツ,1951,932,51%割安,+
9367,ス,大東港運,1392,2009,44%割高,-
9368,ス,キムラユニティー,1451,898,38%割安,+
9369,ス,キューソー流通システム,2172,3080,42%割高,-
9376,ス,ユーラシア旅行社,552,854,55%割高,-
9380,ス,東海運,528,389,26%割安,+
9381,プ,エーアイティー,2492,2210,11%割安,+
9385,ス,ショーエイコーポレーション,717,782,7%割高,-
9401,プ,TBSHD,5961,5519,7%割安,+
9233,ス,アジア航測,1951,1163,40%割安,+
9235,グ,売れるネット広告社G,,554,,-
9236,グ,ジャパンM&Aソリューション,526,1200,134%割高,-
9237,グ,笑美面,501,680,40%割高,-
9240,グ,デリバリーコンサルティング,428,470,25%割高,-
9241,グ,フューチャーリンクネットワーク,424,1361,238%割高,-
9242,グ,メディア総研,2490,1954,20%割安,+
9244,グ,デジタリフト,725,1032,45%割高,-
9245,グ,リベロ,2137,1978,0.3%割安,+
9246,グ,プロジェクトHD,544,1041,92%割高,-
9247,ス,TREHD,1824,1599,12%割安,+
9248,ス,人・夢・技術G,2470,1546,37%割安,+
9249,ス,日本エコシステム,752,1524,103%割高,-
9251,グ,AB&Company,1173,1203,3%割高,-
9252,グ,ラストワンマイル,2456,3935,75%割高,-
9253,グ,スローガン,957,778,19%割安,+
9254,グ,ラバルマーケティングG,295,1142,334%割高,-
9256,グ,サクシード,793,775,1%割安,+
9258,グ,CS-C,,327,,-
9259,グ,タカヨシHD,723,921,27%割高,-
9262,ス,シルバーライフ,1203,759,37%割安,+
9264,ス,ポエック,1418,1680,19%割高,-
9265,ス,ヤマシタヘルスケアHD,3740,3520,6%割安,+
9268,ス,Genky DrugStore,3301,3605,10%割高,-
9270,グ,バリュエンスHD,1672,2417,47%割高,-
9271,グ,和心,398,857,144%割高,-
9272,プ,ブティックス,1749,1612,6%割安,+
9273,プ,コーア商事HD,1453,861,41%割安,+
9274,プ,KPPGHD,1399,967,31%割安,+
